pinyin,label
mingzi,0
dexin,0
wenzong,0
zhujuan,0
ruo,1
zhidian,0
binwei,0
tewei,0
qinggong,0
ruixi,0
chenqu,0
zhusui,0
xinjin,0
suping,1
mailin,0
enrui,0
kangru,0
zhikan,0
bianqing,0
rutie,0
meiqing,0
bianxia,1
qiongyuan,1
chiyao,0
xingzhuang,0
yuanfan,0
ruocun,1
zhanjin,0
qianyang,0
hangang,1
quning,1
yaer,0
chuanbing,0
yanfang,0
xilv,1
miaoyue,1
yubi,1
chuanbu,0
zhenhang,0
mouqian,1
jiahuan,0
cengya,0
xiansheng,0
tengzhuang,0
yuqiao,0
dannuo,0
sizhuo,0
zhujiang,1
duolan,0
xianqi,1
shengbin,0
xinsan,0
chi,0
yixun,1
mingkun,0
shoulin,0
peijia,0
nitian,1
huangdan,1
xuexia,0
jiaoyun,1
baiyuan,0
huahan,1
baoqiang,0
yuncui,1
xiangmi,0
zhenjie,0
chunsan,0
ruju,0
ruanshu,1
chunfeng,1
zhentong,1
mianting,1
siqiong,1
renshu,1
wanjun,0
beile,1
wenwang,0
xiangzhu,1
yingdi,1
ruiling,0
yueshu,0
fenglai,0
yingxuan,1
xiafang,0
guantai,0
yumao,1
dongji,0
guiguan,0
xunyi,0
liai,0
wenhao,0
jinzhen,1
runjing,0
chuanou,1
youkuo,0
haizheng,0
yeqin,0
kuangrang,0
luoxuan,0
guangfang,1
jiuxi,1
zhonghua,1
zhitong,0
zhayi,0
gangyuan,1
xiaosan,0
chikun,0
chujian,0
maqu,0
piaoting,1
qinlei,1
shenglun,0
dingtun,0
mingjiu,0
maowen,0
jiaqiao,0
tonghai,1
erjin,0
qianfang,1
zhengdao,0
huangzi,0
jianmin,1
xilian,0
yajiao,1
tianyi,0
yanceng,0
fuqi,1
weinan,0
siai,0
lidi,1
shanjin,1
fangheng,0
zhanmin,0
tansi,0
aiyao,1
guwei,0
kongrou,1
heguan,0
ruiai,1
weifang,1
dimin,0
mengying,1
miaojue,1
daichen,0
zhegen,0
liaojun,0
xilin,1
shengzuo,0
tangxin,0
qingshun,0
xitao,1
hongyun,1
guangzi,0
zaimi,0
chongtian,0
jiewen,0
hourui,1
jitao,0
xinghao,0
yuluan,1
wanshu,0
lianzhi,0
boqi,1
zhuyou,0
haixiong,0
hangsong,0
nensheng,1
yangchan,0
qingrong,1
jinchun,1
yanshun,0
yinhao,0
airui,1
minxue,0
yuxie,1
yemu,0
huayu,0
diaosi,1
ruifan,1
renxiang,0
canling,0
tianxiao,1
andi,0
zhimian,1
quhuo,0
moya,0
jianjuan,1
xuanle,0
jiake,0
lunyu,0
heshun,1
huaiyao,1
shanghui,0
xiaochun,0
chushu,0
yuyou,0
yanwan,1
qiaolin,0
yinying,1
weihuan,1
jiaxuan,1
biteng,0
panqi,1
qiuwei,0
yadiao,1
zancheng,0
baolan,1
danxing,0
xumu,1
maochen,1
huaichao,0
sici,1
zikai,0
baoyun,1
xinglan,1
hailiang,0
chuiying,0
xilian,1
jiaju,0
yingbi,0
mingcan,0
ningjing,0
qifa,0
shacai,1
chenghang,0
ruolan,1
qisha,1
fengwan,1
guowen,0
nvgong,1
dejin,0
shengyun,0
canying,1
yizhan,1
bingqu,1
yuanmin,0
jiangping,0
xushu,0
jiongfeng,0
duiying,1
nianye,0
linyue,0
muqing,1
nanshi,1
chenru,1
xuanhuai,0
yushu,1
zixuan,1
zhanxuan,0
xujia,0
qiuguo,0
yinbei,1
xuanyi,0
pinxin,1
niangqian,0
xintao,1
shixi,0
duodian,1
guifen,1
feimei,1
kunnuo,0
sijie,1
juelin,1
daobo,0
zhongxiao,1
qianran,0
jianian,0
zequn,0
maiguo,0
xuanruo,0
beisui,0
congbing,0
shaojiao,0
yuchuang,1
huixuan,0
qingkai,0
liugang,0
xuansheng,0
congli,0
youyi,1
yunhe,0
huiduo,1
tanghan,0
conghua,0
baoyun,0
guozhi,0
chuanbiao,0
jiuzhu,0
tangwei,0
mengze,0
xuanjie,1
xunchu,0
chaochao,0
hengping,1
yangchan,1
zehe,0
ningchun,0
zheqi,1
longlu,0
chuxuan,0
wenmei,0
hengjie,1
shubeng,0
qixue,1
rilong,0
pingli,0
qizi,0
delan,1
xueyue,1
xunran,0
leipa,1
musha,1
fenchen,1
xiaoneng,0
zikuo,0
yiniang,0
bingfang,1
youshi,0
kelan,1
zhaocai,0
shang,1
jinlei,1
qiuchen,0
cener,1
yanglian,1
zhan,0
kengba,0
yuehong,0
tianrui,1
xieyang,1
guoping,1
jigui,0
dongyao,0
tianhan,1
chengdong,0
zhuangyu,1
juantian,0
daxi,0
asan,0
naiyu,1
piaochang,1
lunxian,0
simi,1
zhongtao,0
shaojun,1
xiangkui,0
meiyang,0
hujin,0
jueyun,0
fangli,0
niumei,1
xigao,0
shunzeng,0
yuerui,1
zeren,0
shoutao,0
benqi,0
zhiheng,0
zhijing,0
fuhong,1
dongmei,1
xianzhi,1
lige,0
pingxia,1
canbo,0
xinpei,0
dunyan,0
gangfei,0
mingchi,0
lianla,0
cunlong,0
fanchun,0
shouxiang,0
rongjing,1
mantian,0
nanwen,1
lianjin,0
puzhen,0
ruiwen,1
baohuan,1
qiaogu,1
congping,1
lehun,0
lanxing,0
nuoli,1
zuojia,0
youmin,1
qierui,1
ziheng,0
shami,1
guanjin,1
shuizhong,0
qietian,0
chenguang,0
guming,1
tongchen,0
shanjia,0
xiaodong,1
jinou,1
leizhen,1
yinong,1
gaoqing,0
xumin,0
gechun,0
jingwan,1
guixin,1
xitiao,1
yayuan,1
chaojin,1
xiakuang,1
pengri,0
mochou,1
ertian,0
huaiming,0
mengwu,1
sanhao,0
shuzan,0
zimei,1
hankua,0
lewen,0
xuewen,1
huaizhen,1
lishao,1
kuangqi,1
chengyi,1
juanzhu,0
shenxin,1
maolun,0
tuanjian,0
yubu,1
nini,1
quangui,0
jingde,0
yingyuan,0
huaiya,1
yixue,1
junying,0
longxiang,0
kunling,0
yuanshu,0
wanhuo,0
wenlei,0
mianla,0
peihua,1
bichao,0
huanyuan,0
ningkuang,0
xiji,1
mengxiang,1
shenbao,0
